model_name,max_iter,training_score,testing_score
best_kmeans_model,2,50780.61328125,0.01538764
best_kmeans_model,4,50714.97265625,0.015415079
best_kmeans_model,6,50701.9765625,0.015471446
best_kmeans_model,8,50700.3984375,0.015432107
best_kmeans_model,10,50699.1640625,0.01540511
best_kmeans_model,12,50698.4453125,0.015376923
best_kmeans_model,14,50698.45703125,0.015376923
best_kmeans_model,16,50698.4375,0.015374425
best_kmeans_model,18,50698.4375,0.015374425
best_kmeans_model,20,50698.4375,0.015374425
best_kmeans_model,22,50698.4375,0.015374425
best_kmeans_model,24,50698.4375,0.015374425
best_kmeans_model,26,50698.4375,0.015374425
best_kmeans_model,28,50698.4375,0.015374425
best_bisecting_kmeans_model,2,51998.6484375,0.0074552004
best_bisecting_kmeans_model,4,51699.890625,0.008737281
best_bisecting_kmeans_model,6,51686.640625,0.010837264
best_bisecting_kmeans_model,8,51589.92578125,0.0111402655
best_bisecting_kmeans_model,10,51664.8046875,0.010433134
best_bisecting_kmeans_model,12,51566.7265625,0.011700698
best_bisecting_kmeans_model,14,51470.36328125,0.011724089
best_bisecting_kmeans_model,16,51378.9140625,0.012588178
best_bisecting_kmeans_model,18,51422.57421875,0.012854719
best_bisecting_kmeans_model,20,51456.7734375,0.01111343
best_bisecting_kmeans_model,22,51456.7734375,0.01111343
best_bisecting_kmeans_model,24,51456.7734375,0.01111343
best_bisecting_kmeans_model,26,51456.7734375,0.01111343
best_bisecting_kmeans_model,28,51456.765625,0.01111343
best_minibatch_kmeans_model,2,50762.62890625,0.016429713
best_minibatch_kmeans_model,4,50757.1328125,0.016410382
best_minibatch_kmeans_model,6,50757.1328125,0.016410382
best_minibatch_kmeans_model,8,50757.1328125,0.016410382
best_minibatch_kmeans_model,10,50757.1328125,0.016410382
best_minibatch_kmeans_model,12,50757.1328125,0.016410382
best_minibatch_kmeans_model,14,50757.1328125,0.016410382
best_minibatch_kmeans_model,16,50757.1328125,0.016410382
best_minibatch_kmeans_model,18,50757.1328125,0.016410382
best_minibatch_kmeans_model,20,50757.1328125,0.016410382
best_minibatch_kmeans_model,22,50757.1328125,0.016410382
best_minibatch_kmeans_model,24,50757.1328125,0.016410382
best_minibatch_kmeans_model,26,50757.1328125,0.016410382
best_minibatch_kmeans_model,28,50757.1328125,0.016410382
